SAL_CODE_2021,SAL_NAME_2021,IRSD_Score,IRSAD_Score,IER_Score,IEO_Score,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Tot_P_P,Income_to_Mortgage_Ratio,Rent_to_Income_Ratio,Working_Age_Share,Senior_Share,Diversity_Share,Estimated_Property_Price,Estimated_Gross_Yield_Pct,ROI_Proxy_Score,Realistic_ROI_Target,ROI_Rank,Top20_Flag
10001,Aarons Pass,885.173643,881.7936814,933.1936863,933.9652927,59.0,867.0,887.0,0.0,1625.0,2.4,33.0,8.11562860438293,0.0,0.0,0.30303030303030304,0.0,141558.19020308385,0.0,0.11180878632738617,0.10409985711908211,10341,0
10002,Abbotsbury,1047.136105,1060.161482,1118.264611,1028.051229,42.0,2216.0,846.0,550.0,2621.0,3.3,4200.0,5.121358303249098,0.20984357115604732,0.3588095238095238,0.15357142857142858,0.40904761904761905,361814.2439331417,7.90460864367874,0.22641366755623882,0.15105957352728888,5260,0
10003,Abbotsford (NSW),1062.494934,1108.085415,1013.120725,1120.994652,47.0,3000.0,1179.0,550.0,2263.0,2.3,5431.0,3.2662633333333337,0.24304021210782148,0.3767262014361996,0.26109372122997604,0.2807033695452035,489820.727346311,5.838870918130696,0.239021886862765,0.2163765859883,655,1
10004,Abercrombie,1074.541589,1039.382393,1086.779111,1005.631229,39.0,1733.0,1029.0,393.0,2202.0,2.8,1127.0,5.501823427582227,0.1784741144414169,0.36379769299023956,0.13664596273291926,0.05856255545696539,282953.10683038563,7.2223981665803825,0.2016278212569823,0.19900146408667557,1264,1
10005,Abercrombie River,1014.285395,998.1850646,1019.9702,1000.553656,58.0,758.0,550.0,300.0,1024.0,1.8,21.0,5.849498680738787,0.29296875,0.14285714285714285,0.42857142857142855,0.09523809523809523,123761.37044283457,12.604902437797138,0.1793454855725165,0.055298819533436475,12455,0
10006,Aberdare,883.7474286,852.4991823,925.1313104,831.0318599,36.0,1421.0,640.0,303.0,1251.0,2.5,2542.0,3.811984517945109,0.2422062350119904,0.3804091266719119,0.15696302124311565,0.042682926829268296,232011.75118636928,6.791035333095518,0.14138641004642677,0.06507292559264163,12263,0
10007,Aberdeen (NSW),947.1669359,900.5411178,987.6831423,848.1010472,41.0,1517.0,716.0,280.0,1426.0,2.4,2051.0,4.070257086354648,0.19635343618513323,0.3612871769868357,0.18917601170160897,0.04363725012189176,247686.01446145124,5.87841022500124,0.15119548573419378,0.12752877502407464,8069,0
10008,Aberfoyle,1073.799452,1037.266812,1071.478688,1041.991713,37.0,150.0,1041.0,210.0,2250.0,2.9,121.0,64.95,0.09333333333333334,0.3305785123966942,0.2396694214876033,0.04132231404958678,24491.036367315548,44.587741556634406,0.17855277919415402,0.14007440672659563,6624,0
10009,Aberglasslyn,1016.790499,981.6006026,1057.70879,932.1177078,32.0,1950.0,881.0,430.0,2147.0,3.0,6552.0,4.767441025641026,0.20027945971122496,0.4300976800976801,0.0924908424908425,0.08714896214896214,318383.4727751021,7.022977607821536,0.19097902861822733,0.1578103823864838,4513,0
10010,Abermain,923.1041647,883.4776797,975.0594505,841.6703451,37.0,1430.0,667.0,320.0,1449.0,2.7,2544.0,4.387531468531469,0.22084195997239475,0.3761792452830189,0.14426100628930819,0.024174528301886794,233481.2133684082,7.126911737324182,0.1516283644859669,0.09047433731884244,11257,0
10011,Abernethy,993.4569828,938.9460103,1059.433686,871.3690932,37.0,1560.0,737.0,360.0,2069.0,3.0,317.0,5.742801282051282,0.17399710004833252,0.45110410094637227,0.10725552050473186,0.04889589905362776,254706.7782200817,7.349627729115562,0.17114349273633256,0.16450294769710613,3816,0
